2023-04-05 18:09:04,025 INFO [root] [base.py | __init__:14] - 正在初始化driver：<selenium.webdriver.chrome.webdriver.WebDriver (session="aeed9c94705f64a9f66bf8d981399223")>
2023-04-05 18:09:06,676 INFO [root] [base.py | base_find:25] - 正在定位[css selector:.layui-layer-content]
2023-04-05 18:09:06,837 INFO [root] [base.py | base_get_text:58] - 正在获取('css selector', '.layui-layer-content')元素文本：账号不存在!
2023-04-05 18:09:08,852 INFO [root] [base.py | base_click:48] - 正在对[css selector:.layui-layer-btn0]元素进行点击
2023-04-05 18:09:08,852 INFO [root] [base.py | base_find:25] - 正在定位[css selector:.layui-layer-btn0]
2023-04-05 18:09:08,896 INFO [root] [page_login.py | login:36] - 正在调用TPshop登录业务方法，用户名：，密码：123123，验证码：8888
2023-04-05 18:09:08,896 INFO [root] [base.py | base_find:25] - 正在定位[id:username]
2023-04-05 18:09:08,904 INFO [root] [base.py | base_input:37] - 正在对[id:username]输入框进行清空
2023-04-05 18:09:08,929 INFO [root] [base.py | base_input:39] - 正在对[id:username]输入框输入内容：
2023-04-05 18:09:08,973 INFO [root] [base.py | base_find:25] - 正在定位[id:password]
2023-04-05 18:09:08,982 INFO [root] [base.py | base_input:37] - 正在对[id:password]输入框进行清空
2023-04-05 18:09:09,007 INFO [root] [base.py | base_input:39] - 正在对[id:password]输入框输入内容：123123
2023-04-05 18:09:09,058 INFO [root] [base.py | base_find:25] - 正在定位[id:verify_code]
2023-04-05 18:09:09,070 INFO [root] [base.py | base_input:37] - 正在对[id:verify_code]输入框进行清空
2023-04-05 18:09:09,108 INFO [root] [base.py | base_input:39] - 正在对[id:verify_code]输入框输入内容：8888
2023-04-05 18:09:10,171 INFO [root] [base.py | base_click:48] - 正在对[class name:J-login-submit]元素进行点击
2023-04-05 18:09:10,171 INFO [root] [base.py | base_find:25] - 正在定位[class name:J-login-submit]
2023-04-05 18:09:10,210 INFO [root] [base.py | base_find:25] - 正在定位[css selector:.layui-layer-content]
2023-04-05 18:09:10,235 INFO [root] [base.py | base_get_text:58] - 正在获取('css selector', '.layui-layer-content')元素文本：用户名不能为空!
2023-04-05 18:09:12,244 INFO [root] [base.py | base_click:48] - 正在对[css selector:.layui-layer-btn0]元素进行点击
2023-04-05 18:09:12,244 INFO [root] [base.py | base_find:25] - 正在定位[css selector:.layui-layer-btn0]
2023-04-05 18:09:12,283 INFO [root] [page_login.py | login:36] - 正在调用TPshop登录业务方法，用户名：17600682222，密码：123121，验证码：8888
2023-04-05 18:09:12,283 INFO [root] [base.py | base_find:25] - 正在定位[id:username]
2023-04-05 18:09:12,290 INFO [root] [base.py | base_input:37] - 正在对[id:username]输入框进行清空
2023-04-05 18:09:12,311 INFO [root] [base.py | base_input:39] - 正在对[id:username]输入框输入内容：17600682222
2023-04-05 18:09:12,374 INFO [root] [base.py | base_find:25] - 正在定位[id:password]
2023-04-05 18:09:12,382 INFO [root] [base.py | base_input:37] - 正在对[id:password]输入框进行清空
2023-04-05 18:09:12,405 INFO [root] [base.py | base_input:39] - 正在对[id:password]输入框输入内容：123121
2023-04-05 18:09:12,455 INFO [root] [base.py | base_find:25] - 正在定位[id:verify_code]
2023-04-05 18:09:12,465 INFO [root] [base.py | base_input:37] - 正在对[id:verify_code]输入框进行清空
2023-04-05 18:09:12,493 INFO [root] [base.py | base_input:39] - 正在对[id:verify_code]输入框输入内容：8888
2023-04-05 18:09:13,548 INFO [root] [base.py | base_click:48] - 正在对[class name:J-login-submit]元素进行点击
2023-04-05 18:09:13,548 INFO [root] [base.py | base_find:25] - 正在定位[class name:J-login-submit]
2023-04-05 18:09:13,584 INFO [root] [base.py | base_find:25] - 正在定位[css selector:.layui-layer-content]
2023-04-05 18:09:13,723 INFO [root] [base.py | base_get_text:58] - 正在获取('css selector', '.layui-layer-content')元素文本：密码错误!
2023-04-05 18:09:15,745 INFO [root] [base.py | base_click:48] - 正在对[css selector:.layui-layer-btn0]元素进行点击
2023-04-05 18:09:15,745 INFO [root] [base.py | base_find:25] - 正在定位[css selector:.layui-layer-btn0]
2023-04-05 18:09:15,789 INFO [root] [page_login.py | login:36] - 正在调用TPshop登录业务方法，用户名：13800001111，密码：，验证码：8888
2023-04-05 18:09:15,789 INFO [root] [base.py | base_find:25] - 正在定位[id:username]
2023-04-05 18:09:15,800 INFO [root] [base.py | base_input:37] - 正在对[id:username]输入框进行清空
2023-04-05 18:09:15,813 INFO [root] [base.py | base_input:39] - 正在对[id:username]输入框输入内容：13800001111
2023-04-05 18:09:15,881 INFO [root] [base.py | base_find:25] - 正在定位[id:password]
2023-04-05 18:09:15,881 INFO [root] [base.py | base_input:37] - 正在对[id:password]输入框进行清空
2023-04-05 18:09:15,896 INFO [root] [base.py | base_input:39] - 正在对[id:password]输入框输入内容：
2023-04-05 18:09:15,944 INFO [root] [base.py | base_find:25] - 正在定位[id:verify_code]
2023-04-05 18:09:15,947 INFO [root] [base.py | base_input:37] - 正在对[id:verify_code]输入框进行清空
2023-04-05 18:09:15,963 INFO [root] [base.py | base_input:39] - 正在对[id:verify_code]输入框输入内容：8888
2023-04-05 18:09:17,019 INFO [root] [base.py | base_click:48] - 正在对[class name:J-login-submit]元素进行点击
2023-04-05 18:09:17,019 INFO [root] [base.py | base_find:25] - 正在定位[class name:J-login-submit]
2023-04-05 18:09:17,054 INFO [root] [base.py | base_find:25] - 正在定位[css selector:.layui-layer-content]
2023-04-05 18:09:17,076 INFO [root] [base.py | base_get_text:58] - 正在获取('css selector', '.layui-layer-content')元素文本：密码不能为空!
2023-04-05 18:09:19,095 INFO [root] [base.py | base_click:48] - 正在对[css selector:.layui-layer-btn0]元素进行点击
2023-04-05 18:09:19,095 INFO [root] [base.py | base_find:25] - 正在定位[css selector:.layui-layer-btn0]
2023-04-05 18:09:19,138 INFO [root] [page_login.py | login:36] - 正在调用TPshop登录业务方法，用户名：13800001111，密码：123123，验证码：
2023-04-05 18:09:19,138 INFO [root] [base.py | base_find:25] - 正在定位[id:username]
2023-04-05 18:09:19,145 INFO [root] [base.py | base_input:37] - 正在对[id:username]输入框进行清空
2023-04-05 18:09:19,161 INFO [root] [base.py | base_input:39] - 正在对[id:username]输入框输入内容：13800001111
2023-04-05 18:09:19,215 INFO [root] [base.py | base_find:25] - 正在定位[id:password]
2023-04-05 18:09:19,229 INFO [root] [base.py | base_input:37] - 正在对[id:password]输入框进行清空
2023-04-05 18:09:19,245 INFO [root] [base.py | base_input:39] - 正在对[id:password]输入框输入内容：123123
2023-04-05 18:09:19,280 INFO [root] [base.py | base_find:25] - 正在定位[id:verify_code]
2023-04-05 18:09:19,297 INFO [root] [base.py | base_input:37] - 正在对[id:verify_code]输入框进行清空
2023-04-05 18:09:19,312 INFO [root] [base.py | base_input:39] - 正在对[id:verify_code]输入框输入内容：
2023-04-05 18:09:20,368 INFO [root] [base.py | base_click:48] - 正在对[class name:J-login-submit]元素进行点击
2023-04-05 18:09:20,368 INFO [root] [base.py | base_find:25] - 正在定位[class name:J-login-submit]
2023-04-05 18:09:20,401 INFO [root] [base.py | base_find:25] - 正在定位[css selector:.layui-layer-content]
2023-04-05 18:09:20,421 INFO [root] [base.py | base_get_text:58] - 正在获取('css selector', '.layui-layer-content')元素文本：
2023-04-05 18:09:20,421 ERROR [root] [test_login.py | test_login:59] - 断言错误，错误信息：'验证码不1能为空!' not found in ''
2023-04-05 18:09:20,421 ERROR [root] [base.py | base_get_img:69] - 正在进行截图操作!
2023-04-05 18:09:22,615 INFO [root] [base.py | base_click:48] - 正在对[css selector:.layui-layer-btn0]元素进行点击
2023-04-05 18:09:22,615 INFO [root] [base.py | base_find:25] - 正在定位[css selector:.layui-layer-btn0]
2023-04-05 18:09:22,657 INFO [root] [page_login.py | login:36] - 正在调用TPshop登录业务方法，用户名：17600682222，密码：123123，验证码：8888
2023-04-05 18:09:22,657 INFO [root] [base.py | base_find:25] - 正在定位[id:username]
2023-04-05 18:09:22,661 INFO [root] [base.py | base_input:37] - 正在对[id:username]输入框进行清空
2023-04-05 18:09:22,677 INFO [root] [base.py | base_input:39] - 正在对[id:username]输入框输入内容：17600682222
2023-04-05 18:09:22,735 INFO [root] [base.py | base_find:25] - 正在定位[id:password]
2023-04-05 18:09:22,744 INFO [root] [base.py | base_input:37] - 正在对[id:password]输入框进行清空
2023-04-05 18:09:22,761 INFO [root] [base.py | base_input:39] - 正在对[id:password]输入框输入内容：123123
2023-04-05 18:09:22,816 INFO [root] [base.py | base_find:25] - 正在定位[id:verify_code]
2023-04-05 18:09:22,828 INFO [root] [base.py | base_input:37] - 正在对[id:verify_code]输入框进行清空
2023-04-05 18:09:22,847 INFO [root] [base.py | base_input:39] - 正在对[id:verify_code]输入框输入内容：8888
2023-04-05 18:09:23,900 INFO [root] [base.py | base_click:48] - 正在对[class name:J-login-submit]元素进行点击
2023-04-05 18:09:23,900 INFO [root] [base.py | base_find:25] - 正在定位[class name:J-login-submit]
2023-04-05 18:09:23,934 INFO [root] [base.py | base_find:25] - 正在定位[link text:我的商城]
2023-04-05 18:09:24,392 INFO [root] [base.py | base_get_text:58] - 正在获取('link text', '我的商城')元素文本：我的商城
